Movie Name,Genre,Ratings,Votes,Duration
Twisters,Disaster,6.5,195000,122.0
A Complete Unknown,Docudrama,7.3,117000,141.0
The Apprentice,Docudrama,7.1,73000,122.0
Saturday Night,Docudrama,6.8,39000,109.0
Bob Marley: One Love,Docudrama,6.2,39000,107.0
September 5,Docudrama,7.1,37000,95.0
Back to Black,Docudrama,6.3,31000,122.0
Unstoppable,Docudrama,6.8,5400,116.0
Reagan,Docudrama,6.2,13000,141.0
Queen of the Ring,Docudrama,6.4,3200,140.0
2073,Documentary,5.1,4400,85.0
It Ends with Us,Drama,6.3,101000,130.0
Salt Along the Tongue,Drama,5.3,72,113.0
Rust,Drama,5.8,5100,139.0
Cellar Door,Drama,5.2,7200,97.0
Adopted,Drama,4.2,381,83.0
Don't Let's Go to the Dogs Tonight,Drama,6.9,1400,99.0
King Ivory,Drug Crime,6.2,1800,130.0
Heresy,Dutch,6.4,738,61.0
Young Hearts,Dutch,7.9,8800,99.0
The End,Dystopian Sci-Fi,5.4,3300,148.0
The Brutalist,Epic,7.2,139000,216.0
Babygirl,Erotic Thriller,5.7,81000,114.0
Arthur the King,Extreme Sport,7.0,39000,107.0
Wicked,Fairy Tale,7.3,231000,160.0
Unfrosted,Farce,5.5,37000,97.0
The Idea of You,Feel-Good Romance,6.3,85000,115.0
We Live in Time,Feel-Good Romance,7.0,72000,108.0
A Nice Indian Boy,Feel-Good Romance,7.3,7900,96.0
Oddity,Folk Horror,6.7,58000,98.0
The Watchers,Folk Horror,5.7,70000,102.0
Azrael,Folk Horror,5.3,14000,86.0
Arcadian,Folk Horror,5.5,28000,92.0
Apartment 7A,Folk Horror,5.9,21000,107.0
The Count of Monte Cristo,French,7.6,48000,178.0
MadS,French,6.3,12000,89.0
The Shadow Strays,Gangster,6.5,11000,144.0
Kraven the Hunter,Globetrotting Adventure,5.5,82000,127.0
The Order,Heist,6.8,62000,116.0
Lift,Heist,5.6,53000,107.0
Red One,Holiday Comedy,6.2,159000,123.0
Monkey's Magic Merry Go Round,Horror,7.6,26,91.0
Itch!,Horror,5.2,65,82.0
The Body,Italian,6.3,864,116.0
Parthenope,Italian,6.5,21000,137.0
Attack on Titan: The Last Attack,Japanese,9.0,28000,145.0
Look Back,Japanese,7.8,22000,58.0
Solo Leveling: ReAwakening,Japanese,8.7,17000,121.0
